cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,261,176,23-12-2021,59,48.3
2,226,131,17-07-2023,70,28.26
3,298,194,29-03-2023,13,44.65
4,213,190,07-03-2022,13,21.66
5,277,126,24-03-2022,34,53.94
6,255,187,29-01-2023,20,30.33
7,295,110,22-04-2023,50,52.74
8,218,142,28-04-2022,88,34.82
9,212,145,19-01-2022,61,24.16
10,238,191,27-03-2022,2,53.69
11,229,174,01-03-2022,84,29.98
12,280,104,04-07-2023,7,27.41
13,266,102,26-04-2023,69,18.93
14,286,200,22-01-2022,58,37.36
15,261,153,05-12-2022,40,45.4
16,281,127,10-02-2023,51,45.94
17,236,141,03-07-2023,56,43.95
18,203,131,10-01-2023,60,37.47
19,286,101,29-03-2022,56,50.57
20,201,133,22-01-2023,68,23.35
21,258,166,25-04-2022,64,55.09
22,241,157,29-07-2022,89,28.02
23,231,144,06-08-2022,0,15.32
24,278,134,01-12-2021,79,33.39
25,210,198,15-03-2022,90,18.91
26,219,170,20-02-2023,99,39.9
27,259,109,05-01-2023,14,42.54
28,273,148,08-04-2023,13,19.91
29,235,120,16-11-2022,41,35.31
30,296,108,01-08-2022,32,42.13
31,300,132,09-06-2023,2,55.0
32,265,178,28-09-2022,32,50.15
33,281,170,20-03-2022,60,41.35
34,208,200,09-05-2023,4,20.39
35,213,184,05-02-2023,34,37.54
36,244,111,20-07-2022,70,21.16
37,223,162,08-07-2022,6,29.22
38,204,113,23-08-2022,12,38.78
39,222,149,13-06-2022,14,48.56
40,211,121,26-10-2022,76,52.44
41,216,165,16-04-2022,71,30.84
42,223,123,23-03-2022,42,29.38
43,258,151,09-01-2023,64,34.78
44,273,185,06-04-2022,33,42.53
45,233,150,02-06-2023,43,17.74
46,209,184,08-01-2023,74,46.01
47,254,162,12-01-2023,89,22.76
48,246,179,16-07-2023,100,22.25
49,207,175,24-12-2022,24,28.02
50,240,115,25-04-2023,27,51.64
51,221,190,10-12-2022,59,47.75
52,220,102,18-08-2022,44,17.12
53,250,160,12-02-2022,31,17.64
54,246,173,22-02-2023,33,16.62
55,246,123,30-07-2022,93,21.21
56,293,143,07-06-2022,18,35.47
57,228,103,19-02-2022,82,42.07
58,207,104,04-02-2022,88,30.89
59,247,101,02-02-2022,20,37.68
60,274,145,02-01-2022,17,45.79
61,248,120,03-06-2022,47,36.14
62,237,153,04-03-2023,51,24.28
63,211,117,01-01-2023,56,16.09
64,235,190,09-05-2022,17,45.54
65,222,130,28-05-2023,13,37.93
