cod_venda,cod_cliente,cod_produto,data_venda,qtd_vendida,valor_imposto
1,290,132,20-01-2022,63,29.56
2,221,193,31-12-2022,68,31.5
3,258,200,10-12-2021,66,38.84
4,213,132,25-01-2022,48,51.43
5,210,135,02-03-2022,22,52.03
6,265,104,07-04-2023,24,16.35
7,243,185,08-08-2022,80,37.0
8,290,117,16-04-2022,83,46.28
9,254,102,10-05-2022,79,18.93
10,220,124,24-03-2023,51,58.09
11,218,161,05-03-2022,18,49.99
12,238,129,22-05-2023,9,31.71
13,295,104,30-10-2022,93,48.55
14,213,133,24-12-2022,40,46.21
15,215,162,06-03-2022,43,33.52
16,290,179,24-04-2022,1,23.05
17,283,174,15-05-2023,37,38.57
18,248,155,12-05-2023,0,45.66
19,286,101,14-12-2021,83,59.32
20,283,102,22-03-2023,98,16.89
21,282,195,26-07-2023,80,26.38
22,221,144,21-12-2022,7,45.96
23,225,121,06-04-2022,12,34.92
24,216,101,15-04-2023,99,17.91
25,256,111,10-08-2022,3,25.35
26,283,116,24-05-2023,22,30.32
27,204,118,26-07-2023,24,55.95
28,232,139,26-04-2023,51,35.97
29,230,137,03-01-2022,94,26.27
30,208,188,02-09-2022,99,26.23
31,289,134,18-03-2022,34,37.08
32,221,132,13-05-2023,94,37.24
33,242,140,05-03-2023,61,55.68
34,221,130,17-07-2023,39,36.03
35,232,121,02-01-2023,51,59.89
36,238,150,12-02-2023,2,31.39
37,242,187,20-01-2022,28,19.85
38,295,127,23-09-2022,48,27.69
39,233,187,10-11-2022,53,20.73
40,236,109,24-05-2023,80,25.15
41,261,121,18-02-2022,45,15.66
42,201,103,27-01-2022,28,22.31
43,226,153,23-02-2023,20,17.78
44,247,115,01-04-2023,77,40.53
45,236,195,15-11-2022,38,52.7
46,244,114,05-03-2023,40,56.94
47,256,137,24-02-2022,90,21.43
48,296,143,06-12-2021,50,15.74
49,251,133,11-12-2021,35,40.52
50,237,191,12-06-2023,69,27.44
51,272,119,31-12-2022,26,39.93
52,247,192,21-03-2023,82,39.08
53,277,162,27-11-2022,99,48.63
54,289,167,17-01-2022,74,30.47
55,231,193,26-08-2022,20,37.2
56,266,134,27-07-2022,64,48.0
57,283,129,10-02-2022,15,38.2
58,208,129,19-12-2022,99,43.44
59,248,170,18-09-2022,70,48.69
60,224,151,25-05-2023,36,41.71
61,239,172,27-12-2022,73,34.54
62,239,154,27-02-2023,49,42.26
63,221,104,24-02-2022,91,28.42
64,206,150,02-07-2022,15,33.53
65,245,164,01-03-2022,64,29.44
66,298,126,22-04-2023,68,48.55
67,276,187,02-12-2021,7,15.1
68,256,123,13-01-2022,4,39.51
69,257,131,04-06-2023,55,17.48
70,240,118,17-02-2022,27,45.61
71,206,175,29-06-2022,55,17.17
72,291,172,17-09-2022,85,48.86
73,257,170,09-03-2022,57,57.29
74,237,156,07-01-2023,46,23.55
75,262,148,26-01-2022,54,24.16
76,295,132,13-10-2022,38,23.5
77,277,128,12-03-2022,64,26.25
78,249,143,17-07-2023,64,42.85
79,235,185,09-03-2023,97,32.07
80,203,149,29-09-2022,26,49.99
