cod_item,periodo,mao_de_obra,materia_prima,gasto_geral
101,01/2021,864.54,163.2,175.16
101,02/2021,309.56,633.97,405.12
101,03/2021,496.58,1101.79,64.84
101,04/2021,232.84,595.31,82.95
101,05/2021,984.27,1000.81,459.82
101,06/2021,6.39,1280.23,271.59
101,07/2021,486.87,24.8,347.4
101,08/2021,527.36,1267.84,193.47
101,09/2021,518.45,16.58,139.83
101,10/2021,295.57,359.89,463.66
101,11/2021,595.4,802.19,372.67
101,12/2021,409.44,177.75,323.21
101,01/2022,494.68,524.0,312.5
101,02/2022,385.67,23.48,47.55
101,03/2022,5.46,196.74,435.41
101,04/2022,390.17,1048.91,91.43
101,05/2022,796.46,508.55,110.59
101,06/2022,352.05,793.17,16.08
101,07/2022,220.06,350.25,156.14
101,08/2022,591.79,1367.57,47.96
101,09/2022,262.04,647.82,172.93
101,10/2022,227.06,1430.33,28.45
101,11/2022,178.87,4.86,11.12
101,12/2022,827.11,1478.31,61.82
101,01/2023,752.47,281.32,204.54
101,02/2023,187.96,757.2,404.34
101,03/2023,648.59,319.04,4.42
101,04/2023,929.07,1351.47,59.77
101,05/2023,587.97,974.14,354.47
101,06/2023,769.19,414.14,429.8
101,07/2023,456.61,1200.78,322.58
102,01/2021,830.05,650.47,377.59
102,02/2021,652.19,465.59,392.23
102,03/2021,588.24,1188.66,319.07
102,04/2021,331.46,510.26,161.92
102,05/2021,963.91,597.85,40.23
102,06/2021,970.06,1286.35,254.17
102,07/2021,160.01,656.61,3.76
102,08/2021,614.67,427.47,335.46
102,09/2021,351.9,1381.44,92.71
102,10/2021,406.73,829.36,232.66
102,11/2021,590.06,670.6,30.24
102,12/2021,3.98,807.05,369.71
102,01/2022,160.62,1165.13,273.08
102,02/2022,958.41,201.65,122.61
102,03/2022,350.74,365.28,469.99
102,04/2022,115.33,412.02,359.22
102,05/2022,416.66,932.41,114.14
102,06/2022,432.94,1017.55,195.42
102,07/2022,679.32,774.0,249.38
102,08/2022,598.38,567.39,310.23
102,09/2022,655.64,1210.93,165.01
102,10/2022,328.05,146.17,164.53
102,11/2022,478.95,132.73,247.82
102,12/2022,16.58,824.45,412.12
102,01/2023,642.22,531.57,450.39
102,02/2023,14.37,1444.46,245.91
102,03/2023,695.82,1347.86,418.99
102,04/2023,574.24,360.94,131.78
102,05/2023,51.7,845.7,220.4
102,06/2023,706.87,123.5,316.62
102,07/2023,981.35,532.48,50.57
103,01/2021,548.86,1222.01,109.75
103,02/2021,49.64,534.6,153.78
103,03/2021,701.35,1487.53,458.53
103,04/2021,539.14,547.46,243.73
103,05/2021,214.22,695.17,111.06
103,06/2021,397.99,1268.01,437.9
103,07/2021,427.03,245.94,404.4
103,08/2021,476.27,1044.51,342.41
103,09/2021,446.83,15.24,412.24
103,10/2021,971.02,316.63,383.62
103,11/2021,3.97,1361.59,207.79
103,12/2021,930.71,1012.67,311.74
103,01/2022,992.94,868.17,430.97
103,02/2022,429.54,1336.01,66.2
103,03/2022,169.85,441.47,91.69
103,04/2022,242.74,1295.13,489.97
103,05/2022,679.15,1371.33,270.39
103,06/2022,358.35,653.59,240.18
103,07/2022,476.49,1464.93,228.06
103,08/2022,780.85,341.6,249.67
103,09/2022,633.38,1369.43,103.81
103,10/2022,747.82,495.74,309.44
103,11/2022,838.76,605.83,336.23
103,12/2022,848.1,250.26,269.36
103,01/2023,260.66,336.71,355.0
103,02/2023,343.51,1202.29,28.06
103,03/2023,821.37,717.73,40.62
103,04/2023,324.71,271.56,366.65
103,05/2023,388.14,652.09,222.93
103,06/2023,134.99,44.25,400.32
103,07/2023,498.62,512.28,144.52
104,01/2021,928.17,6.48,56.61
104,02/2021,218.4,1000.22,182.03
